target,Unnamed: 0,date,insult,tweet
the-media,1287,1287,1287,1287
democrats,647,647,647,647
hillary-clinton,625,625,625,625
trump-russia,441,441,441,441
joe-biden,402,402,402,402
the-new-york-times,392,392,392,392
cnn,295,295,295,295
impeachment-inquiry,247,247,247,247
adam-schiff,143,143,143,143
2020-election,143,143,143,143
nancy-pelosi,129,129,129,129
james-comey,122,122,122,122
michael-bloomberg,116,116,116,116
washington-post,115,115,115,115
mueller-team,110,110,110,110
ted-cruz,110,110,110,110
jeb-bush,96,96,96,96
elizabeth-warren,91,91,91,91
marco-rubio,82,82,82,82
fox-news,81,81,81,81
obamacare,77,77,77,77
chuck-schumer,75,75,75,75
msnbc,73,73,73,73
nbc-news,67,67,67,67
bernie-sanders,66,66,66,66
the-fed,66,66,66,66
barack-obama,60,60,60,60
mail-in-voting,53,53,53,53
karl-rove,48,48,48,48
andrew-cuomo,42,42,42,42
mitt-romney,42,42,42,42
john-bolton,42,42,42,42
twitter,40,40,40,40
trump-report,39,39,39,39
chris-cuomo,38,38,38,38
megyn-kelly,38,38,38,38
michael-cohen,37,37,37,37
morning-joe,36,36,36,36
robert-mueller,36,36,36,36
chuck-todd,34,34,34,34
andrew-mccabe,34,34,34,34
brian-kemp,33,33,33,33
john-kasich,30,30,30,30
fbi,30,30,30,30
the-squad,30,30,30,30
joe-scarborough,29,29,29,29
bob-corker,29,29,29,29
us-immigration-policies,28,28,28,28
richard-blumenthal,28,28,28,28
mexico,28,28,28,28
china,27,27,27,27
politico,27,27,27,27
john-mccain,27,27,27,27
abc-post-poll,26,26,26,26
jeff-flake,26,26,26,26
iran-deal,25,25,25,25
the-system,24,24,24,24
obama-administration,24,24,24,24
saturday-night-live,24,24,24,24
doug-jones,23,23,23,23
omarosa-manigault,23,23,23,23
bill-deblasio,22,22,22,22
tom-steyer,22,22,22,22
wall-street-journal,22,22,22,22
lindsey-graham,22,22,22,22
union-leader,21,21,21,21
united-states,21,21,21,21
mika-brzezinski,20,20,20,20
iran,20,20,20,20
nfl,19,19,19,19
trade-pacts,18,18,18,18
club-for-growth,18,18,18,18
elijah-cummings,18,18,18,18
peter-strzok,18,18,18,18
jon-ossoff,17,17,17,17
abc-news,17,17,17,17
glenn-beck,17,17,17,17
delegate-system,17,17,17,17
macys,17,17,17,17
department-of-justice,17,17,17,17
fox-polls,17,17,17,17
democrat-run-cities,16,16,16,16
h1n1-response,16,16,16,16
paul-ryan,16,16,16,16
ninth-circuit,15,15,15,15
jeff-sessions,15,15,15,15
jerome-powell,15,15,15,15
comcast,15,15,15,15
jon-tester,15,15,15,15
washington-dc,15,15,15,15
republicans,15,15,15,15
anthony-scaramucci,15,15,15,15
polls,15,15,15,15
ben-sasse,15,15,15,15
woodward-book,15,15,15,15
kamala-harris,14,14,14,14
geoff-duncan,14,14,14,14
nbc,14,14,14,14
puerto-rico,14,14,14,14
jim-mattis,14,14,14,14
chris-wallace,13,13,13,13
rick-snyder,13,13,13,13
nafta,13,13,13,13
tim-ryan,13,13,13,13
stuart-stevens,12,12,12,12
lisa-page,12,12,12,12
dominion-voting,12,12,12,12
george-will,12,12,12,12
ilhan-omar,12,12,12,12
ralph-northam,12,12,12,12
bill-clinton,12,12,12,12
john-brennan,12,12,12,12
pollsters,12,12,12,12
frederica-wilson,11,11,11,11
ted-wheeler,11,11,11,11
60-minutes,11,11,11,11
womens-assault-allegations,11,11,11,11
sadiq-khan,11,11,11,11
brad-raffensperger,11,11,11,11
vanity-fair,11,11,11,11
politicians,11,11,11,11
john-bel-edwards,11,11,11,11
conor-lamb,11,11,11,11
associated-press,11,11,11,11
